Index,Bank,total_loan_amt,9in10yr_loan_amt,9in100yr_loan_amt,21in10yr_loan_amt,21in100yr_loan_amt
272,LOANDEPOT.COM,593367,0,30952,47579,70725
273,"LONGBRIDGE FINANCIAL, LLC",303,0,0,0,0
274,LOWELL FIVE CENT SVG BK,8946,0,645,1005,1585
275,LUXURY MORTGAGE CORP.,8133,0,275,275,1556
276,M&T RLTY CAP CORP,28009,0,0,0,0
277,MACHIAS SVG BK,505,0,0,0,0
278,MACKINAC SVG BK FSB,3985,0,0,0,0
279,MAGNOLIA BK,889,0,0,0,285
280,MANSFIELD CO-OP BK,28376,0,780,3105,3105
281,MANUFACTURERS & TRADERS TC,66305,0,810,810,1036
282,MARBLEHEAD BK,493,0,0,0,0
283,MARLBOROUGH SVG BK,1255,0,0,0,0
284,MARTHA'S VINEYARD SB,1388,0,0,0,0
285,MASS BAY CU,6846,0,0,65,270
286,MASSACHUSETTS INST TECH FC,1250,0,0,0,175
287,MASSMUTUAL FCU,535,0,0,0,0
288,MAVERICK FUNDING,4761,0,0,0,0
289,MB FNCL BK NA,20579,0,1226,1965,3516
290,MECHANICS CO-OP BK,14416,0,1541,1541,1541
291,MEETINGHOUSE BK,96626,0,2031,8265,8895
292,MELROSE CO-OP BK,11973,0,1050,3050,3050
293,"MEMBERS MORTGAGE COMPANY, INC.",48033,0,2983,4506,7984
294,MEMBERS PLUS CU,8384,0,0,314,566
295,MERIDIAN BK,779,0,0,779,779
296,MERRIMACK MORTGAGE COMPANY,44615,0,362,3382,3952
297,MERRIMACK VALLEY FCU,4428,0,0,0,1698
298,METRO CU,108269,375,5152,6350,13893
299,METROPOLITAN HOME MORTGAGE,993,0,0,0,364
300,"MID AMERICA MORTGAGE, INC",388,0,0,0,0
301,MID-ISLAND MORTGAGE CORP.,11406,0,0,817,817
302,MIDDLESEX FED SVG FA,18822,0,431,431,2681
303,MIDDLESEX SVG BK,57258,0,3614,4322,6030
304,MIDFIRST BK,585,0,0,0,0
305,MIDWEST CMNTY BK,507,0,0,0,0
306,"MILEND, INC.",4969,0,0,288,288
307,MILFORD FS&LA,2398,0,0,0,451
308,MILFORD NB&TC,2000,0,0,0,0
309,MILITARY FAMILY HOME LOANS,713,0,0,0,260
310,MILLBURY FCU,485,0,0,0,0
311,MILLBURY SVG BK,1160,0,0,0,0
312,MLD MORTGAGE INC.,1208,0,0,0,0
313,"MMS MORTGAGE SERVICES, LTD.",218,0,0,0,0
314,MONSON SVG BK,1207,0,0,0,0
315,MORGAN STANLEY PRIV BK NA,112239,0,7527,9824,16058
316,MORTGAGE EQUITY PARTNERS,25961,0,753,1203,1787
317,"MORTGAGE FINANCIAL SERVICES,IN",46180,0,2278,6685,9902
318,MORTGAGE LENDERS OF AMERICA,1165,0,0,0,0
319,"MORTGAGE MASTER, INC.",187245,0,9868,14683,21662
320,"MORTGAGE NETWORK, INC",210835,0,10885,18209,26367
321,"MORTGAGE RESEARCH CENTER, LLC",7291,0,0,345,775
322,MOUNTAINONE BK,93935,2575,7417,14863,17663
323,"MOVEMENT MORTGAGE, LLC",2318,0,417,417,417
324,MSA MORTGAGE LLC,193754,1111,18526,28580,51063
325,MUTUAL BK,3608,0,0,0,876
326,MUTUAL FIRST FCU,14391,0,2374,3162,9636
327,MUTUALONE BK,30088,0,0,4560,5835
328,MWABANK,568,0,0,0,0
329,NATIONAL BK OF KANSAS CITY,1217,0,0,0,0
330,NATIONS LENDING CORPORATION,2290,0,587,587,587
331,NATIONSTAR MORTGAGE LLC,40046,0,1168,2883,3925
332,NATIONWIDE ADVANTAGE MORTGAGE,276,0,0,0,0
333,NAVEO CU,1927,0,0,0,0
334,NAVIGANT CU,2307,0,0,0,674
335,NAVY FCU,14196,0,1055,1380,1387
336,NBKC BK,667,0,0,0,350
337,NBT BK NA,280,0,0,0,0
338,NCB FSB,800,0,0,0,0
339,NE MOVES MORTGAGE,45593,0,1265,2599,3875
340,NEEDHAM BK,287129,0,7028,14814,19570
341,NESC FCU,204,0,0,0,0
342,NETWORK CAPITAL FUNDING GROUP,2888,0,0,0,0
343,"NETWORK FUNDING, L.P.",621,0,0,0,0
344,NEW ENGLAND FCU,1492,0,0,0,0
345,NEW ENGLAND REGIONAL MORTGAGE,470,0,470,470,470
346,NEW ENGLAND TEAMSTERS FCU,627,0,0,0,400
347,NEW FED MORTGAGE CORP,46314,0,2462,4216,9086
348,NEW PENN FINANCIAL LLC,30777,0,1707,3363,3937
349,NEW YORK CMNTY BK,23057,0,1190,2243,2643
350,NEWBURYPORT FIVE CNT SVG BK,2226,0,0,0,0
351,"NEWDAY FINANCIAL, LLC",7358,0,0,1399,1399
352,NEXBANK SSB,560,0,0,0,0
353,"NFC MORTGAGE COMPANY, LLC",5452,0,0,565,565
354,"NFM, INC",1910,0,202,202,202
355,NORCOM MORTGAGE,15620,0,545,1237,1237
356,NORTH AMER SVG BK FSB,6141,0,752,752,1907
357,NORTH BROOKFIELD SVG BK,1161,0,0,0,0
358,NORTH CAMBRIDGE CO-OP BK,1228,0,0,0,0
359,NORTH EASTON SVG BK,1177,0,0,450,450
360,NORTH MIDDLESEX SVG BK,5246,0,0,0,0
361,NORTH SHORE BK A CO-OP BK,10522,0,1788,1788,1788
362,NORTHEAST BK,5029,0,928,813,1940
363,NORTHEAST CMNTY BK,8369,0,0,0,0
364,"NORTHEAST HOME LOAN, LLC",15484,0,0,0,204
365,NORTHERN B&TC,54839,0,3032,4106,9958
366,NORTHERN TC,17535,0,0,0,175
367,NORTHMARK BK,6273,0,516,516,2143
368,"NORTHPOINT MORTGAGE, INC.",5640,0,0,276,640
369,NORTHPOINTE BK,1566,0,641,641,965
370,NORWOOD CO-OP BK,26482,0,286,286,533
371,NOTRE DAME FCU,455,0,0,0,0
372,NRL FCU,225,0,0,0,0
373,NYCB MORTGAGE COMPANY LLC,16543,0,616,616,1757
374,OCEANSIDE MORTGAGE COMPANY,1769,0,0,0,0
375,"OCMBC, INC",1127,0,0,0,0
376,"OCWEN LOAN SERVICING, LLC",69979,0,2035,4838,5760
377,ONEUNITED BK,4419,0,0,0,0
378,OPTIMA B&TC,244,0,244,244,244
379,PACIFIC UNION FINANCIAL LLC,20114,0,1363,3198,4016
380,PARAMOUNT RESIDENTIAL MORTGAGE,2936,0,323,323,792
381,PARKSIDE LENDING LLC,3521,0,0,0,0
382,PATHFINDER BK,660,0,660,660,660
383,PATRIOT COMNTY BK,47234,0,4189,4352,7718
384,PENNYMAC LOAN SERVICES LLC,6354,0,0,0,0
385,PENTAGON FCU,2625,0,272,388,418
386,PENTUCKET BK,980,0,0,0,0
387,PEOPLES BK,10644,0,0,0,0
388,PEOPLES FSB,23939,0,0,0,0
389,PEOPLES NB,212,0,0,0,0
390,PEOPLES UNITED BK,207454,0,8479,16958,25508
391,PEOPLES UNITED BK NA,141942,0,5625,11979,19517
392,PEOPLESBANK,10265,0,7500,7500,7640
393,PERL MORTGAGE,3507,0,0,0,0
394,PHH HOME LOANS LLC,31759,0,1593,3636,5197
395,PHH MORTGAGE CO,11984,0,1241,1374,1975
396,PILGRIM BK,29580,0,2220,2735,6766
397,"PLAZA HOME MORTGAGE, INC.",30507,0,282,1201,1618
398,PMAC LENDING SERVICES INC,23029,0,1870,2125,3910
399,PNC BK NA,136110,0,1000,1941,1941
400,"POLI MORTGAGE GROUP, INC",57897,0,1674,3109,3911
401,POLICE FCU,408,0,0,0,0
402,POLISH NAT CU,817,0,0,0,0
403,PREFERRED BUSINESS EXCHANGE,46,0,0,0,0
404,PREMIA MORTGAGE LLC,1678,0,0,0,0
405,PRESIDENTIAL BK FSB,3335,0,0,1459,1459
406,PRIMARY RESIDENTIAL MORTGAGE,14089,0,392,1265,2058
407,PRIME ALLI BK,825,0,0,0,0
408,PRIMELENDING A PLAINSCAPITAL C,55947,618,6996,9909,19137
409,PRIVATE BK OF BUCKHEAD,236,0,236,236,236
410,PROFICIO BK,326,0,0,0,0
411,"PROSPECT MORTGAGE, LLC",290293,0,26770,40242,54619
412,"PROVIDENT FUNDING ASSOCIATES,",16903,0,0,0,0
413,PROVIDENT FUNDING GROUP INC,2468,0,0,0,648
414,PROVINCE MORTGAGE ASSOCIATES,1826,0,353,353,733
415,"PRYSMA LENDING GROUP, LLC",345,0,0,0,0
416,QUAD CITY B&TC,350,0,0,0,0
417,"QUICKEN LOANS, INC.",345239,497,10049,17359,25500
418,QUINCY CU,5688,0,0,1460,1460
419,QUONTIC BK FSB,320,0,0,0,0
420,QUORUM FCU,1378,0,988,1378,1378
421,RADIUS BK,19828,0,0,0,1280
422,RADIUS FINANCIAL GROUP INC.,58830,0,2572,3458,5703
423,RANDOLPH SVG BK,56795,0,764,4904,5431
424,RAYMOND JAMES BK NA,888,0,535,535,535
425,RBC BK GA NA,350,0,0,0,0
426,READING CO-OP BK,6894,0,0,0,1115
427,REDWOOD RESIDENTIAL ACQ,1456,0,0,0,0
428,REGENCY MORTGAGE CORP.,1348,0,0,0,0
429,REPUBLIC STATE MORTGAGE,355,0,0,0,0
430,RESIDENTIAL MORTGAGE SERVICES,284560,962,12384,23234,29437
431,"RESMAC, INC.",3706,0,0,0,0
432,REVERSE MORTGAGE FUNDING LLC,238,0,0,0,0
433,RHODE ISLAND CU,125,0,0,0,0
434,RIVER WKS CU,12426,0,1068,1870,3444
435,ROCKLAND FCU,12630,0,125,780,780
436,ROCKLAND TC,176467,0,3175,5208,10365
437,ROCKVILLE BK,3140,0,0,0,1305
438,ROLLSTONE B&T,480,0,0,0,0
439,ROSS MORTGAGE COMPANY,1668,0,0,0,0
440,ROUNDPOINT MORTGAGE COMPANY,3497,0,368,618,618
441,RTN FCU,17286,0,0,15,50
442,S-BK,2033,0,0,0,0
443,SAGE BK,117200,412,2777,7806,14343
444,SAINT MARYS CU,1622,0,0,0,0
445,SALEM CO-OP BK,501,0,0,0,0
446,SALEM FIVE CENTS SVG BK,32102,0,0,1775,2225
447,"SALEM FIVE MORTGAGE CO., LLC",189003,0,13064,18306,29833
448,SALISBURY B&TC,451,0,0,0,0
449,SANTANDER BK NA,338364,469,17632,26941,41304
450,SAVINGS BK,8714,0,470,470,1753
451,SCHAEFER MORTGAGE CORP.,1889,0,0,0,0
452,SCITUATE FSB,5007,0,484,1114,1114
453,SECURITYNATIONAL MORTGAGE COMP,319,0,0,0,0
454,SEMPER HOME LOANS,383,0,0,0,0
455,SERVICE CU,916,0,0,0,0
456,SHAMROCK FINANCIAL CORP,5097,0,248,248,248
457,SHANGHAI CMRL BK SF BR,1680,0,0,0,0
458,SHARON CU,7616,0,0,0,0
459,SHREWSBURY FCU,448,0,0,0,0
460,SIERRA PACIFIC MORTGAGE,42626,268,873,2435,5004
461,SIGNATURE BK NA,650,0,0,0,650
462,SILICON VALLEY BK,20621,0,0,719,719
463,SIMSBURY B&TC,1095,0,568,568,568
464,"SIRVA MORTGAGE, INC.",1136,0,0,486,486
465,SOUTH SHORE BK,20682,0,1876,3629,5047
466,SOUTHBRIDGE SVG BK,3768,0,953,2141,2641
467,SOUTHERN MA CU,172,0,0,0,0
468,SPENCER SVG BK,8719,0,0,0,0
469,ST ANNES CU OF FALL RIVER,3186,0,0,490,490
470,ST JEANS CU,507,0,0,0,0
471,STATE DEPT FCU,161,0,0,0,0
472,"STEARNS LENDING, INC.",58772,0,826,4616,6670
473,STEPSTONE MORTGAGE COMPANY,1074,0,391,0,391
474,STERLING NB,1685,0,0,0,435
475,STIFEL B&T,10246,0,248,950,950
476,STONEGATE MORTGAGE LLC,835,0,0,0,0
477,STONEHAMBK,32376,0,1986,2726,3726
478,STOUGHTON CO-OP BK,1215,0,0,0,0
479,SUNTRUST BK,498,0,0,0,0
480,SUNTRUST MTG,11849,0,631,788,1168
481,T D BK NA,88987,0,7692,8188,10865
482,TALMER B&TC,940,0,0,0,0
483,THE MONEY SOURCE,1445,0,0,0,356
484,THIRD FS&LA,3192,0,0,200,200
485,THRIVENT FCU,155,0,0,0,0
486,TIAA-CREF TC FSB,4414,0,321,321,441
487,TIDEWATER MORT. SERVICES INC,2209,0,0,0,516
488,TOP FLITE FINANCIAL,375,0,0,0,0
489,"TOTAL MORTGAGE SERVICES, LLC",7098,0,308,308,308
490,TOWER FCU,280,0,0,0,0
491,TRANSPORTATION FCU,50,0,0,0,0
492,TREMONT CU,11907,0,0,120,120
493,U S BK NA,42964,0,1006,3730,5471
494,UBS AG TAMPA BR,715,0,0,0,0
495,UBS BK USA,36933,0,7207,8423,10803
496,UMASSFIVE COLLEGE FCU,775,0,0,0,0
497,UMB BK NA,1217,0,0,0,0
498,UNIBANK FOR SVG,14393,0,1369,1766,2086
499,UNIFY FINANCIAL CREDIT UNION,343,0,0,0,85
500,UNION YES FCU,790334,183,34737,68792,113627
501,UNITED BANK MORTGAGE CORP,504,0,0,0,0
502,UNITED BK,45465,0,1197,1900,3666
503,UNITED NATIONS FCU,546,0,250,0,250
504,UNITED SHORE FINANCIAL SERVICE,89647,0,6686,11245,15351
505,UNIVERSITY ISLAMIC FINANCIAL,191,0,0,0,0
506,"URBAN FINANCIAL GROUP, INC.",298,0,0,0,0
507,US MORTGAGE CORPORATION,1264,0,268,268,268
508,USAA FSB,27290,0,0,1209,2150
509,USALLIANCE FCU,20455,0,3282,3282,5418
510,VANGUARD FUNDING LLC,1027,0,0,0,0
511,VELOCITY COMMERCIAL CAPITAL,3954,0,0,0,350
512,VILLAGE BK,17895,0,0,0,805
513,VILLAGE MORTGAGE COMPANY,24601,0,1292,2513,2961
514,WAKEFIELD CO-OP BK,15953,0,1151,1151,1151
515,"WALKER & DUNLOP, LLC",73196,0,0,23668,23668
516,WALPOLE CO-OP BK,43806,0,450,450,2267
517,WASHINGTON SVG BK,1260,0,0,0,0
518,WASHINGTON TC,1917,0,0,37,532
519,WASHINGTON TC OF WESTERLY,5218,0,0,653,1153
520,WASHINGTON TR MTG CO LLC,211143,0,12290,22504,34761
521,"WATERMARK CAPITAL, INC.",2388,0,413,413,413
522,WATERSTONE BK,1366,0,0,0,0
523,WATERSTONE MORTGAGE CORP.,2310,0,606,973,973
524,WATERTOWN SVG BK,14010,0,0,323,1367
525,WEBSTER BK NA,172573,0,6769,11406,19620
526,WEBSTER FIRST FCU,5187,0,1115,1175,1735
527,WEBSTER FIVE CENTS SVG BK,33742,0,612,1469,3113
528,WEI MORTGAGE CORPORATION,417,0,0,0,0
529,WELLESLEY BK,115402,0,6276,10388,12658
530,WELLS FARGO BK NA,818276,161,38470,72640,103183
531,WESTSTAR MORTGAGE INC,504,0,0,0,0
532,WEYMOUTH BK,765,0,0,44,44
533,"WILLIAM RAVEIS MORTGAGE, LLC",49621,0,2181,2923,3836
534,WILMINGTON SVG FUND SCTY FSB,766,0,0,0,0
535,WINCHESTER CO-OP BK,17388,0,1232,1232,4259
536,WINCHESTER SVG BK,12472,0,3324,3495,5272
537,WINGS FNCL CU,304,0,0,0,0
538,WINTER HILL BK,28599,0,2746,3064,7372
539,WORKERS CU,3008,0,310,563,563
540,WRENTHAM CO-OP BK,127,0,0,0,0