Bank,total_loan_amt,9in10yr_loan_amt,9in100yr_loan_amt,21in10yr_loan_amt,21in100yr_loan_amt
FIRST REPUBLIC BK,1085079,0,60597,75974,129959
GUARANTEED RATE INC.,885002,305,40201,77410,120931
WELLS FARGO BK NA,818276,161,38470,72640,103183
UNION YES FCU,790334,183,34737,68792,113627
BANK OF AMER NA,653588,0,41285,51956,75046
EAST BOSTON SVG BK,611873,3504,89474,117712,173665
JPMORGAN CHASE BK NA,601760,0,25444,38934,114398
LOANDEPOT.COM,593367,0,30952,47579,70725
BOSTON PRIVATE B&TC,418113,1606,34507,40656,86897
"QUICKEN LOANS, INC.",345239,497,10049,17359,25500
EASTERN BK,342480,0,14086,21981,36554
SANTANDER BK NA,338364,469,17632,26941,41304
FAIRWAY INDP MORTGAGE CORP,326321,195,11822,30784,42651
"PROSPECT MORTGAGE, LLC",290293,0,26770,40242,54619
NEEDHAM BK,287129,0,7028,14814,19570
HINGHAM INST FOR SVG,285029,0,10334,13910,21704
RESIDENTIAL MORTGAGE SERVICES,284560,962,12384,23234,29437
CITIBANK NA,277478,0,12133,11816,22782
CAPITAL ONE NA,243063,0,0,608,1136
WASHINGTON TR MTG CO LLC,211143,0,12290,22504,34761
"MORTGAGE NETWORK, INC",210835,0,10885,18209,26367
PEOPLES UNITED BK,207454,0,8479,16958,25508
BLUE HILLS BK,203379,0,3808,9283,17688
CITIZENS BK NA,197867,912,6449,15430,23436
MSA MORTGAGE LLC,193754,1111,18526,28580,51063
BANK OF CANTON,193353,0,3642,10527,15675
"SALEM FIVE MORTGAGE CO., LLC",189003,0,13064,18306,29833
BROOKLINE BK,188880,0,2360,3203,6467
"MORTGAGE MASTER, INC.",187245,0,9868,14683,21662
DIGITAL FCU,176930,49,12750,21625,33024
ROCKLAND TC,176467,0,3175,5208,10365
WEBSTER BK NA,172573,0,6769,11406,19620
BERKSHIRE BK,168981,0,9497,15058,27672
CAMBRIDGE SVG BK,159872,768,20165,21299,28659
PEOPLES UNITED BK NA,141942,0,5625,11979,19517
PNC BK NA,136110,0,1000,1941,1941
DEDHAM INST FOR SVG,133100,0,5608,6790,8380
KEYBANK NA,131096,0,0,100174,100174
COOPERATIVE BK,128513,0,740,1240,14488
"FBC MORTGAGE, LLC",125232,0,4254,8899,13544
SAGE BK,117200,412,2777,7806,14343
WELLESLEY BK,115402,0,6276,10388,12658
MORGAN STANLEY PRIV BK NA,112239,0,7527,9824,16058
BNY MELLON NA,111079,0,6179,12477,16242
METRO CU,108269,375,5152,6350,13893
BELMONT SVG BK,102661,0,3429,8514,11904
CAMBRIDGE TC,102257,0,6411,8154,12978
JEANNE D'ARC CU,98484,0,3061,7546,16256
MEETINGHOUSE BK,96626,0,2031,8265,8895
MOUNTAINONE BK,93935,2575,7417,14863,17663
UNITED SHORE FINANCIAL SERVICE,89647,0,6686,11245,15351
T D BK NA,88987,0,7692,8188,10865
EAST CAMBRIDGE SVG BK,84680,0,2384,5158,13637
CITY OF BOSTON CU,80377,0,1137,4106,5931
FIRST NIAGARA BK NA,77541,0,2832,2832,2832
"WALKER & DUNLOP, LLC",73196,0,0,23668,23668
"OCWEN LOAN SERVICING, LLC",69979,0,2035,4838,5760
"CITIZENS BK, NA",69835,0,2612,8965,11085
FIRST COMMONS BK NA,67782,0,1544,13798,15506
MANUFACTURERS & TRADERS TC,66305,0,810,810,1036
EVERBANK,65790,0,3502,5314,7406
DITECH FINANCIAL LLC,62445,154,2666,5657,8202
BOSTON FRFTRS CU,59678,0,1310,5655,6930
RADIUS FINANCIAL GROUP INC.,58830,0,2572,3458,5703
"STEARNS LENDING, INC.",58772,0,826,4616,6670
GOLDMAN SACHS BK USA,58343,0,1036,2420,3947
"POLI MORTGAGE GROUP, INC",57897,0,1674,3109,3911
MIDDLESEX SVG BK,57258,0,3614,4322,6030
CENTURY B&TC,56931,0,4018,5705,15860
RANDOLPH SVG BK,56795,0,764,4904,5431
PRIMELENDING A PLAINSCAPITAL C,55947,618,6996,9909,19137
NORTHERN B&TC,54839,0,3032,4106,9958
HARVARD UNIV EMPL CU,53723,170,1809,2926,5624
INSTITUTION SVG IN NEWBURYPORT,50429,0,2106,3006,7469
"WILLIAM RAVEIS MORTGAGE, LLC",49621,0,2181,2923,3836
"COMMONWEALTH MORTGAGE, LLC",48987,0,835,2441,5182
"MEMBERS MORTGAGE COMPANY, INC.",48033,0,2983,4506,7984
PATRIOT COMNTY BK,47234,0,4189,4352,7718
COMMERCE B&TC,46584,0,2609,2609,3324
NEW FED MORTGAGE CORP,46314,0,2462,4216,9086
"MORTGAGE FINANCIAL SERVICES,IN",46180,0,2278,6685,9902
NE MOVES MORTGAGE,45593,0,1265,2599,3875
UNITED BK,45465,0,1197,1900,3666
MERRIMACK MORTGAGE COMPANY,44615,0,362,3382,3952
WALPOLE CO-OP BK,43806,0,450,450,2267
U S BK NA,42964,0,1006,3730,5471
SIERRA PACIFIC MORTGAGE,42626,268,873,2435,5004
NATIONSTAR MORTGAGE LLC,40046,0,1168,2883,3925
AVIDIA BK,39263,0,8926,9516,10076
FREEDOM MORTGAGE CORPORATION,39138,0,0,0,953
FIRSTRUST SVG BK,36938,0,3325,4402,6358
UBS BK USA,36933,0,7207,8423,10803
BERKELEY POINT CAPITAL,35984,0,0,0,0
GMH MORTGAGE SERVICES LLC,35953,0,799,2619,5527
COMMONWEALTH CO-OP BK,35822,642,1912,3932,4455
EVERETT CO-OP BK,35348,0,4740,7041,18036
WEBSTER FIVE CENTS SVG BK,33742,0,612,1469,3113
FIRST HOME MORTGAGE CORPORATIO,32544,0,2134,3223,4136
STONEHAMBK,32376,0,1986,2726,3726
SALEM FIVE CENTS SVG BK,32102,0,0,1775,2225
PHH HOME LOANS LLC,31759,0,1593,3636,5197
FIRST FSB OF BOSTON,31033,0,2080,2889,4299
NEW PENN FINANCIAL LLC,30777,0,1707,3363,3937
"PLAZA HOME MORTGAGE, INC.",30507,0,282,1201,1618
MUTUALONE BK,30088,0,0,4560,5835
PILGRIM BK,29580,0,2220,2735,6766
WINTER HILL BK,28599,0,2746,3064,7372
MANSFIELD CO-OP BK,28376,0,780,3105,3105
M&T RLTY CAP CORP,28009,0,0,0,0
CLINTON SVG BK,27672,0,231,231,231
USAA FSB,27290,0,0,1209,2150
"CALIBER HOME LOANS, INC.",26986,0,1055,2120,3369
NORWOOD CO-OP BK,26482,0,286,286,533
MORTGAGE EQUITY PARTNERS,25961,0,753,1203,1787
CHARLES SCHWAB BK,25558,0,1423,1423,2423
EAST WEST BK,25227,0,0,775,1903
VILLAGE MORTGAGE COMPANY,24601,0,1292,2513,2961
"LEADER MORTGAGE COMPANY, INC.",23949,0,417,1301,3078
PEOPLES FSB,23939,0,0,0,0
NEW YORK CMNTY BK,23057,0,1190,2243,2643
PMAC LENDING SERVICES INC,23029,0,1870,2125,3910
BEVERLY BK,22717,0,6567,7324,10661
BARRINGTON B&TC NA,22413,0,0,1626,3086
FLAGSTAR BK FSB,21357,0,1322,2131,2671
SOUTH SHORE BK,20682,0,1876,3629,5047
SILICON VALLEY BK,20621,0,0,719,719
MB FNCL BK NA,20579,0,1226,1965,3516
"EMBRACE HOME LOANS, INC.",20533,0,0,1406,1406
USALLIANCE FCU,20455,0,3282,3282,5418
ALLIANT CU,20182,0,999,2295,3766
PACIFIC UNION FINANCIAL LLC,20114,0,1363,3198,4016
RADIUS BK,19828,0,0,0,1280
CUSTOMERS BK,19700,0,0,3850,3850
COASTWAY CMNTY BK,19679,0,2005,2788,4846
CROSSCOUNTRY MORTGAGE INC.,19529,0,439,439,2350
FINANCE OF AMERICA MORTGAGE,19141,0,766,2006,2006
MIDDLESEX FED SVG FA,18822,0,431,431,2681
HARBORONE BK,18804,0,3230,3486,3486
GEORGETOWN BK,18396,0,2035,2861,4893
VILLAGE BK,17895,0,0,0,805
ABINGTON BK,17685,0,0,3578,3578
LIBERTY BAY CU,17579,0,0,0,1230
NORTHERN TC,17535,0,0,0,175
WINCHESTER CO-OP BK,17388,0,1232,1232,4259
RTN FCU,17286,0,0,15,50
"PROVIDENT FUNDING ASSOCIATES,",16903,0,0,0,0
FRANKLIN AMERICAN MORTGAGE CO,16645,0,683,1235,1278
NYCB MORTGAGE COMPANY LLC,16543,0,616,616,1757
FARMINGTON BK,16500,0,1251,2216,3660
"ENVOY MORTGAGE, LTD",16445,0,665,1888,2607
AMERISAVE MORTGAGE CORPORATION,16212,0,520,750,1702
ENTERPRISE B&TC,16153,0,0,854,1894
WAKEFIELD CO-OP BK,15953,0,1151,1151,1151
NORCOM MORTGAGE,15620,0,545,1237,1237
"NORTHEAST HOME LOAN, LLC",15484,0,0,0,204
HANSCOM FCU,15247,0,772,772,1922
AMERICAN NEIGHBORHOOD MORTGAGE,14800,0,1216,1619,3039
CAPE COD FIVE CENTS SVG BK,14772,0,1390,2308,2308
ASTORIA FEDERAL MTG. CORP.,14729,0,856,4187,4987
DIRECT FED CU,14704,0,0,0,396
MECHANICS CO-OP BK,14416,0,1541,1541,1541
UNIBANK FOR SVG,14393,0,1369,1766,2086
MUTUAL FIRST FCU,14391,0,2374,3162,9636
BEVERLY CO-OP BK,14385,0,680,2266,3141
NAVY FCU,14196,0,1055,1380,1387
PRIMARY RESIDENTIAL MORTGAGE,14089,0,392,1265,2058
WATERTOWN SVG BK,14010,0,0,323,1367
HOME POINT FINANCIAL CORP,13879,0,0,0,637
BAY ST SVG BK,13848,0,0,0,1328
HSBC BK USA NA,13753,0,0,0,0
BRANCH BKG&TC,12982,0,825,1304,1914
ROCKLAND FCU,12630,0,125,780,780
WINCHESTER SVG BK,12472,0,3324,3495,5272
RIVER WKS CU,12426,0,1068,1870,3444
PHH MORTGAGE CO,11984,0,1241,1374,1975
MELROSE CO-OP BK,11973,0,1050,3050,3050
CAMBRIDGE MTG GRP,11944,0,0,924,1464
TREMONT CU,11907,0,0,120,120
SUNTRUST MTG,11849,0,631,788,1168
"DREW MORTGAGE ASSOCIATES, INC.",11729,0,767,1450,2168
INTEGRITY FIRST FINANCIAL GR,11669,0,0,0,225
MID-ISLAND MORTGAGE CORP.,11406,0,0,817,817
DISCOVER HOME LOANS,10991,0,875,0,1584
DB PRIVATE WEALTH MORTGAGE,10988,0,0,0,2813
HUDSON CITY SVG BK FSB,10959,0,417,1386,1386
"LAKEVIEW LOAN SERVICING, LLC",10942,0,0,683,683
PEOPLES BK,10644,0,0,0,0
FIDELITY CO-OP BK,10595,0,896,1646,1856
NORTH SHORE BK A CO-OP BK,10522,0,1788,1788,1788
AMERICAN FINANCIAL RESOURCES,10404,0,0,0,354
PEOPLESBANK,10265,0,7500,7500,7640
STIFEL B&T,10246,0,248,950,950
BRIDGEWATER SVG BK,9878,0,0,1304,2172
CAMDEN NB,9737,0,280,280,809
FIFTH THIRD MTG CO,9092,0,248,248,1028
BAXTER CU,9026,0,0,490,490
BOFI FED BK,8953,0,0,0,0
LOWELL FIVE CENT SVG BK,8946,0,645,1005,1585
SPENCER SVG BK,8719,0,0,0,0
SAVINGS BK,8714,0,470,470,1753
"E MORTGAGE MANAGEMENT, LLC",8607,0,0,461,931
FIRST IPSWICH BK,8601,0,400,400,867
CATHAY BK,8404,0,611,1514,1514
MEMBERS PLUS CU,8384,0,0,314,566
NORTHEAST CMNTY BK,8369,0,0,0,0
LUXURY MORTGAGE CORP.,8133,0,275,275,1556
EAGLE BK,8082,0,800,800,1499
DITECH MORTGAGE CORP,8061,0,599,835,835
FEDERAL SVGS BK,7839,0,0,209,209
AMERICAN INTERNET MORTGAGE,7642,0,375,735,1371
SHARON CU,7616,0,0,0,0
FIRST PRIORITY CU,7511,0,25,373,4720
"NEWDAY FINANCIAL, LLC",7358,0,0,1399,1399
"MORTGAGE RESEARCH CENTER, LLC",7291,0,0,345,775
COMERICA BK,7268,0,0,0,0
BRISTOL CTY SVG BK,7190,0,0,0,300
GLADEWATER NB,7165,0,0,904,904
"TOTAL MORTGAGE SERVICES, LLC",7098,0,308,308,308
READING CO-OP BK,6894,0,0,0,1115
MASS BAY CU,6846,0,0,65,270
COMMUNITY FSB,6749,0,0,0,269
BANKGLOUCESTER,6601,0,706,706,2426
FIRSTBANK,6471,0,314,606,606
ACADEMY MORTGAGE CORPORATION,6456,0,501,631,631
CBC NB,6385,0,0,0,672
PENNYMAC LOAN SERVICES LLC,6354,0,0,0,0
COLE TAYLOR BK,6335,0,225,225,225
HABIB AMER BK,6305,0,305,0,305
BAYCOAST BK,6286,0,0,831,831
NORTHMARK BK,6273,0,516,516,2143
BANK OF ENGLAND,6222,0,0,0,328
BANC OF CA NA,6185,0,1035,747,1035
"BROKER SOLUTIONS, INC",6159,0,635,635,635
NORTH AMER SVG BK FSB,6141,0,752,752,1907
FIRST AMERICAN MORTGAGE TRUST,6033,0,0,0,0
INDUSTRIAL & CMRL BK,5962,0,0,0,0
CRESCENT MTG CO,5923,0,0,0,0
COASTAL HERITAGE BK,5908,0,0,622,622
FIRST TRADE UNION BK,5771,0,0,0,605
QUINCY CU,5688,0,0,1460,1460
"NORTHPOINT MORTGAGE, INC.",5640,0,0,276,640
ALIGN CU,5520,0,542,542,542
HOME LOAN INV BK FSB,5476,0,0,0,195
"NFC MORTGAGE COMPANY, LLC",5452,0,0,565,565
EVOLVE B&TC,5370,0,375,375,672
NORTH MIDDLESEX SVG BK,5246,0,0,0,0
WASHINGTON TC OF WESTERLY,5218,0,0,653,1153
WEBSTER FIRST FCU,5187,0,1115,1175,1735
SHAMROCK FINANCIAL CORP,5097,0,248,248,248
NORTHEAST BK,5029,0,928,813,1940
SCITUATE FSB,5007,0,484,1114,1114
"MILEND, INC.",4969,0,0,288,288
BANK OF ME,4873,0,0,0,0
MAVERICK FUNDING,4761,0,0,0,0
FIRST GUARANTY MORTGAGE CORP,4557,0,382,382,382
INTERCONTINENTAL CAPITAL GROUP,4471,0,0,0,0
"ATLANTIC HOME LENDING, INC",4464,0,697,697,697
KS STATEBANK,4453,0,0,534,534
BRAINTREE CO-OP BK,4448,0,0,0,0
MERRIMACK VALLEY FCU,4428,0,0,0,1698
ONEUNITED BK,4419,0,0,0,0
TIAA-CREF TC FSB,4414,0,321,321,441
ALLIED MORTGAGE GROUP,4330,0,0,0,0
COLONIAL FSB,4001,0,0,1750,1750
MACKINAC SVG BK FSB,3985,0,0,0,0
VELOCITY COMMERCIAL CAPITAL,3954,0,0,0,350
SOUTHBRIDGE SVG BK,3768,0,953,2141,2641
B2R FINANCE L.P.,3761,0,0,0,0
HOMEBRIDGE FINANCIAL SERVICES,3718,0,196,196,196
"RESMAC, INC.",3706,0,0,0,0
"FRANKLIN FIRST FINANCIAL, LTD",3689,0,0,0,0
HUNTINGTON NB,3626,0,0,0,0
MUTUAL BK,3608,0,0,0,876
PARKSIDE LENDING LLC,3521,0,0,0,0
PERL MORTGAGE,3507,0,0,0,0
ROUNDPOINT MORTGAGE COMPANY,3497,0,368,618,618
FIRST INTERNET BK IN,3342,0,385,809,1084
PRESIDENTIAL BK FSB,3335,0,0,1459,1459
BANK OF EASTON,3248,0,0,0,0
BOKF NA,3246,0,0,0,597
BANK OF CAPE COD,3215,0,0,490,907
CRESCENT CU,3212,0,0,0,0
THIRD FS&LA,3192,0,0,200,200
ST ANNES CU OF FALL RIVER,3186,0,0,490,490
ROCKVILLE BK,3140,0,0,0,1305
INLANTA MORTGAGE,3065,0,357,357,549
CENTRAL ONE FED CU,3053,0,0,0,0
WORKERS CU,3008,0,310,563,563
CAPE COD CO-OP BK,3001,0,0,0,0
PARAMOUNT RESIDENTIAL MORTGAGE,2936,0,323,323,792
"GUIDANCE RESIDENTIAL, LLC",2935,0,382,0,382
KINECTA FCU,2928,0,0,0,0
HOMESTEAD FUNDING CORP,2922,0,0,392,392
NETWORK CAPITAL FUNDING GROUP,2888,0,0,0,0
INDUSTRIAL CU,2818,0,0,0,184
GUARDHILL FINANCIAL CORP,2758,0,0,0,0
EMIGRANT FUNDING CORP,2715,0,300,300,1340
PENTAGON FCU,2625,0,272,388,418
COASTAL HERITAGE BANK,2602,0,0,0,510
GREAT PLAINS NB,2541,0,0,0,0
AMERICAN BK,2538,0,0,0,0
"EMIGRANT MORTGAGE COMPANY, INC",2520,0,1727,1727,1727
PROVIDENT FUNDING GROUP INC,2468,0,0,0,648
"EQUITY LOANS, LLC",2438,0,0,386,386
MILFORD FS&LA,2398,0,0,0,451
GERSHMAN INVESTMENT CORPORATIO,2391,0,0,0,0
"WATERMARK CAPITAL, INC.",2388,0,413,413,413
"MOVEMENT MORTGAGE, LLC",2318,0,417,417,417
WATERSTONE MORTGAGE CORP.,2310,0,606,973,973
NAVIGANT CU,2307,0,0,0,674
NATIONS LENDING CORPORATION,2290,0,587,587,587
HOLBROOK CO-OP BK,2268,0,750,750,750
GOLDWATER BK NA,2254,0,0,0,0
NEWBURYPORT FIVE CNT SVG BK,2226,0,0,0,0
TIDEWATER MORT. SERVICES INC,2209,0,0,0,516
ENERGY CU,2208,0,0,0,0
IFREEDOM DIRECT CORP,2169,0,0,0,0
EQUITABLE BANK,2066,0,0,976,976
EMPLOYERS REASSURANCE CORP,2050,0,0,0,0
S-BK,2033,0,0,0,0
CAPE ANN SVG BK,2025,0,0,0,394
MILFORD NB&TC,2000,0,0,0,0
FIRST CHOICE LOAN SERVICES INC,1940,0,355,355,355
FRONTIER BK,1940,0,0,0,0
NAVEO CU,1927,0,0,0,0
WASHINGTON TC,1917,0,0,37,532
"NFM, INC",1910,0,202,202,202
SCHAEFER MORTGAGE CORP.,1889,0,0,0,0
LAND HOME FINANCIAL SERVICES,1844,0,0,408,408
PROVINCE MORTGAGE ASSOCIATES,1826,0,353,353,733
ATLANTIC HOME LOANS INC.,1781,0,280,280,280
COVENTRY CU,1772,0,0,0,0
OCEANSIDE MORTGAGE COMPANY,1769,0,0,0,0
"HOMEWARD RESIDENTIAL, INC",1736,0,0,0,0
AMER AIRLINES FCU,1724,0,532,532,803
STERLING NB,1685,0,0,0,435
FIRST MARINER BK,1681,0,415,415,415
SHANGHAI CMRL BK SF BR,1680,0,0,0,0
PREMIA MORTGAGE LLC,1678,0,0,0,0
AVON CO-OP BK,1670,0,0,0,0
ROSS MORTGAGE COMPANY,1668,0,0,0,0
DRAPER AND KRAMER MORTGAGE COR,1630,0,0,0,1630
SAINT MARYS CU,1622,0,0,0,0
BARRONS MORTGAGE GROUP,1619,0,0,0,0
"1ST ALLIANCE LENDING, LLC",1607,0,0,0,254
NORTHPOINTE BK,1566,0,641,641,965
HOWARD BK,1557,0,0,0,0
JG WENTWORTH HOME LENDING LLC,1535,0,0,310,310
COMMUNITY CU OF LYNN,1520,0,0,0,0
NEW ENGLAND FCU,1492,0,0,0,0
REDWOOD RESIDENTIAL ACQ,1456,0,0,0,0
THE MONEY SOURCE,1445,0,0,0,356
COLORADO FSB,1430,0,0,0,0
"CONTINENTAL HOME LOANS, INC",1412,0,0,0,0
MARTHA'S VINEYARD SB,1388,0,0,0,0
QUORUM FCU,1378,0,988,1378,1378
WATERSTONE BK,1366,0,0,0,0
CHARLES RIVER BK,1361,0,0,0,0
REGENCY MORTGAGE CORP.,1348,0,0,0,0
CHELSEA BK,1332,0,0,0,150
US MORTGAGE CORPORATION,1264,0,268,268,268
CONGRESSIONAL BK,1263,0,0,0,316
WASHINGTON SVG BK,1260,0,0,0,0
HOMETOWN BK A CO-OP BK,1258,0,0,0,0
MARLBOROUGH SVG BK,1255,0,0,0,0
MASSACHUSETTS INST TECH FC,1250,0,0,0,175
FOXBORO FED SVGS,1238,0,0,0,0
EASTHAMPTON SVG BK,1235,0,871,259,871
NORTH CAMBRIDGE CO-OP BK,1228,0,0,0,0
FFC MORTGAGE CORP,1221,0,0,0,0
NATIONAL BK OF KANSAS CITY,1217,0,0,0,0
UMB BK NA,1217,0,0,0,0
STOUGHTON CO-OP BK,1215,0,0,0,0
MLD MORTGAGE INC.,1208,0,0,0,0
MONSON SVG BK,1207,0,0,0,0
HAVERHILL BK,1201,0,241,241,241
NORTH EASTON SVG BK,1177,0,0,450,450
FALL RIVER FIVE CENTS SVGS BK,1170,0,0,0,0
MORTGAGE LENDERS OF AMERICA,1165,0,0,0,0
DEAN CO-OP BK,1162,0,0,325,325
NORTH BROOKFIELD SVG BK,1161,0,0,0,0
ADVANCIAL FCU,1160,0,0,261,261
MILLBURY SVG BK,1160,0,0,0,0
"SIRVA MORTGAGE, INC.",1136,0,0,486,486
"OCMBC, INC",1127,0,0,0,0
GUARANTY BK,1101,0,0,0,0
SIMSBURY B&TC,1095,0,568,568,568
STEPSTONE MORTGAGE COMPANY,1074,0,391,0,391
ASTORIA BK,1027,0,0,0,0
VANGUARD FUNDING LLC,1027,0,0,0,0
BRIDGEWATER CU,1023,0,0,0,0
CIT BK NA,1007,0,0,0,0
METROPOLITAN HOME MORTGAGE,993,0,0,0,364
GATEWAY FUNDING DIV MTG SVCS,990,0,0,0,0
PENTUCKET BK,980,0,0,0,0
CENTREVILLE BANK,959,0,542,542,542
BMO HARRIS BK NA,950,0,0,0,950
TALMER B&TC,940,0,0,0,0
"AMERICAN EQUITY MORTGAGE, INC",934,0,0,0,0
SERVICE CU,916,0,0,0,0
GUILD MORTGAGE COMPANY,912,0,0,0,0
BAC FL BK,903,0,0,0,0
MAGNOLIA BK,889,0,0,0,285
RAYMOND JAMES BK NA,888,0,535,535,535
DOLLAR BK FSB,880,0,0,0,0
COMPASS BK,879,0,0,0,0
FIRST TECH FCU,859,0,0,0,0
ADMIRALS BK,855,0,0,0,0
CITY NB,853,0,353,353,353
STONEGATE MORTGAGE LLC,835,0,0,0,0
PRIME ALLI BK,825,0,0,0,0
FORT SILL NB,818,0,0,0,0
POLISH NAT CU,817,0,0,0,0
NCB FSB,800,0,0,0,0
MERIDIAN BK,779,0,0,779,779
UMASSFIVE COLLEGE FCU,775,0,0,0,0
WILMINGTON SVG FUND SCTY FSB,766,0,0,0,0
WEYMOUTH BK,765,0,0,44,44
FIRST FED BK OF FL,756,0,0,0,0
BRIDGEVIEW BANK MTG COMP LLC,752,0,0,0,0
LENOX FINANCIAL MORTGAGE CORP,739,0,0,0,0
ACCESS NB,717,0,0,0,0
UBS AG TAMPA BR,715,0,0,0,0
MILITARY FAMILY HOME LOANS,713,0,0,0,260
"LIVE WELL FINANCIAL, INC.",702,0,0,0,0
CHEMUNG CANAL TC,701,0,0,0,0
AMERICAN FEDERAL MORTGAGE COPR,689,0,0,0,0
BANGOR SVG BK,689,0,0,689,689
ARK-LA-TEX FINANCIAL SERVICES,679,0,0,0,0
NBKC BK,667,0,0,0,350
PATHFINDER BK,660,0,660,660,660
BANK FUND STAFF FCU,655,0,0,0,0
SIGNATURE BK NA,650,0,0,0,650
NEW ENGLAND TEAMSTERS FCU,627,0,0,0,400
"NETWORK FUNDING, L.P.",621,0,0,0,0
GORHAM SVG BK,620,0,0,0,0
MIDFIRST BK,585,0,0,0,0
MWABANK,568,0,0,0,0
CHICOPEE SVG BK,560,0,0,0,0
FEARON FINANCIAL LLC,560,0,0,0,0
NEXBANK SSB,560,0,0,0,0
FIRST BK,556,0,0,0,0
UNITED NATIONS FCU,546,0,250,0,250
CAPITAL BANK NA,541,0,0,204,204
MASSMUTUAL FCU,535,0,0,0,0
AMERICAN EQUITY MORTGAGE,531,0,0,0,0
FAMILY FED SVG,530,0,0,0,0
FIRST NB,524,0,0,0,0
EDISON NB,523,0,0,523,523
MIDWEST CMNTY BK,507,0,0,0,0
ST JEANS CU,507,0,0,0,0
MACHIAS SVG BK,505,0,0,0,0
UNITED BANK MORTGAGE CORP,504,0,0,0,0
WESTSTAR MORTGAGE INC,504,0,0,0,0
SALEM CO-OP BK,501,0,0,0,0
SUNTRUST BK,498,0,0,0,0
MARBLEHEAD BK,493,0,0,0,0
MILLBURY FCU,485,0,0,0,0
ROLLSTONE B&T,480,0,0,0,0
NEW ENGLAND REGIONAL MORTGAGE,470,0,470,470,470
NOTRE DAME FCU,455,0,0,0,0
SALISBURY B&TC,451,0,0,0,0
SHREWSBURY FCU,448,0,0,0,0
ALLCOM CU,432,0,0,0,0
BMI FCU,432,0,0,0,0
"CORTRUST MORTGAGE, INC.",417,0,0,0,0
"KELLER MORTGAGE, LLC",417,0,417,417,417
WEI MORTGAGE CORPORATION,417,0,0,0,0
INLAND B&TC,415,0,0,0,0
KANSAS ST BK OF MANHATTAN,413,0,0,0,0
LEE BK,409,0,0,0,409
POLICE FCU,408,0,0,0,0
LIBERTY HOME EQUITY SOLUTIONS,402,0,0,0,0
COMMERCE BK,400,0,0,0,0
ADVANTAGE BK,390,0,390,390,390
"MID AMERICA MORTGAGE, INC",388,0,0,0,0
SEMPER HOME LOANS,383,0,0,0,0
BETHPAGE FCU,380,0,0,0,0
TOP FLITE FINANCIAL,375,0,0,0,0
CONNECTICUT HOME MORTGAGE,373,0,0,373,373
CERTUSBANK NA,370,0,0,0,0
COUNTRY BK FOR SVG,370,0,0,0,0
GA BKG CO,365,0,0,0,0
IDB-IIC FCU,360,0,360,360,360
EQUITABLE CO-OP BK,356,0,0,0,0
REPUBLIC STATE MORTGAGE,355,0,0,0,0
QUAD CITY B&TC,350,0,0,0,0
RBC BK GA NA,350,0,0,0,0
"PRYSMA LENDING GROUP, LLC",345,0,0,0,0
CONNEXUS CU,344,0,0,0,52
UNIFY FINANCIAL CREDIT UNION,343,0,0,0,85
GREAT LAKES CU,335,0,0,0,0
CAMBRIDGE PORTUGUESE CU,330,0,0,0,0
CENT MTG CO D/B/A CENTURY LEND,326,0,326,326,326
PROFICIO BK,326,0,0,0,0
QUONTIC BK FSB,320,0,0,0,0
SECURITYNATIONAL MORTGAGE COMP,319,0,0,0,0
CONTOUR MORTGAGE CORPORATION,308,0,0,0,0
WINGS FNCL CU,304,0,0,0,0
"LONGBRIDGE FINANCIAL, LLC",303,0,0,0,0
DEVON BK,300,0,0,0,0
"URBAN FINANCIAL GROUP, INC.",298,0,0,0,0
FARMERS B&TC,290,0,0,0,0
CNB MORTGAGE COMPANY,288,0,0,0,0
HOMEFIELD CREDIT UNION,281,0,0,0,0
NBT BK NA,280,0,0,0,0
TOWER FCU,280,0,0,0,0
NATIONWIDE ADVANTAGE MORTGAGE,276,0,0,0,0
CLEARVIEW FCU,270,0,0,0,0
GFA FCU,269,0,0,0,0
AMERICAN FINANCE HOUSE LARIBA,266,0,0,0,0
EVERENCE FCU,254,0,0,0,0
BENCHMARK BK,253,0,0,0,0
OPTIMA B&TC,244,0,244,244,244
JAMES B. NUTTER & COMPANY,243,0,0,0,0
REVERSE MORTGAGE FUNDING LLC,238,0,0,0,0
PRIVATE BK OF BUCKHEAD,236,0,236,236,236
NRL FCU,225,0,0,0,0
"MMS MORTGAGE SERVICES, LTD.",218,0,0,0,0
PEOPLES NB,212,0,0,0,0
NESC FCU,204,0,0,0,0
UNIVERSITY ISLAMIC FINANCIAL,191,0,0,0,0
FOUR POINTS FCU,189,0,0,0,0
BANK RHODE ISLAND,180,0,0,0,0
COLONIAL SVG FA,177,0,0,0,0
SOUTHERN MA CU,172,0,0,0,0
CITIZENS NB OF GREATER STL,168,0,0,0,0
STATE DEPT FCU,161,0,0,0,0
THRIVENT FCU,155,0,0,0,0
GERMAN AMER BC,152,0,0,0,0
FIRST CITIZENS FCU,132,0,0,0,0
WRENTHAM CO-OP BK,127,0,0,0,0
RHODE ISLAND CU,125,0,0,0,0
BCB CMNTY BK,100,0,0,0,0
FRB FCU,80,0,0,0,0
TRANSPORTATION FCU,50,0,0,0,0
PREFERRED BUSINESS EXCHANGE,46,0,0,0,0
FIRST MW BK,12,0,0,0,0
GREYLOCK FCU,4,0,0,0,0
HOMESTAR BK & FS,2,0,0,0,0